label,text
1,"This is Officer John from the IRS. You owe $5,436 in back taxes. If you do not pay immediately, we will issue a warrant for your arrest. Please press 1 to speak with an agent."
1,"We have detected unauthorized charges on your credit card. To secure your account, we need your card number and security code. Failure to respond will result in account suspension."
1,This is Microsoft Support. We have detected a serious virus on your computer. Do not use your device until you follow our instructions. Press 2 to connect with a technician.
1,"Congratulations! You’ve won $50,000 in our international sweepstakes. To claim your prize, you need to pay a $500 processing fee. Call us back immediately at this number."
1,"This is Sergeant Brown from the local police department. You are under investigation for a fraud case. To avoid further legal action, transfer $1,000 to the following account right away."
1,"Your Amazon Prime subscription will be auto-renewed for $399. If this is a mistake, press 1 to cancel and claim a refund."
1,"Your electricity bill is overdue. If payment is not made within 24 hours, your service will be disconnected. Call us immediately at 1-800-555-1234."
1,"Hello, we are collecting donations for disaster relief victims. Please provide your credit card details to make a contribution today. Every second counts!"
0,"Hi, this is Sarah from ABC Bank. We’re just calling to confirm your recent transaction of $250. If you have any questions, feel free to call us at your convenience."
0,"Hello, this is City Dental Clinic. Your appointment is confirmed for Tuesday at 3 PM. If you need to reschedule, please call us back."
0,"Hey, it’s me. Just checking if you’re free to grab lunch tomorrow. Let me know!"
0,"This is James from XYZ Online Store. Your order has been shipped and will arrive on Friday. If you need further assistance, don’t hesitate to reach out."
0,"Hi, this is Dr. Smith’s office. We wanted to remind you about your annual checkup next week. Please call us if you need to change the time."
0,"Hey, Mom! So, we’re thinking about hosting the party at our place. Can you bring dessert? Let me know what you think."
0,"Hello, this is John from IT Support. We’ve resolved the issue with your email server. If you encounter any other problems, let us know."
0,"Hi, this is DHL. Your package is out for delivery and should arrive by 5 PM today. No action is required on your part."
1,"This is Sergeant Emily from the local police department. You are under investigation for a fraud case. To avoid further legal action, transfer $4260 to the following account right away."
1,This is Microsoft Support. Your computer has been infected with a serious virus. Do not use your device until you follow our instructions. Press 2 to connect with a technician.
1,"This is Officer Emily from the IRS. You owe $673 in back taxes. If you do not pay immediately, we will issue a warrant for your arrest. Please press 8 to speak with an agent."
1,"Your Amazon Prime subscription will be auto-renewed for $1944. If this is a mistake, press 2 to cancel and claim a refund."
1,This is Microsoft Support. Your computer has been infected with a serious virus. Do not use your device until you follow our instructions. Press 7 to connect with a technician.
1,"This is Officer Emily from the IRS. You owe $4162 in back taxes. If you do not pay immediately, we will issue a warrant for your arrest. Please press 6 to speak with an agent."
1,"Hello, we are collecting donations for disaster relief victims. Please provide your credit card details to make a contribution today. Every second counts!"
1,"Hello, we are collecting donations for disaster relief victims. Please provide your credit card details to make a contribution today. Every second counts!"
1,"Your electricity bill is overdue. If payment is not made within 41 hours, your service will be disconnected. Call us immediately at 1-800-555-1234."
1,"This is Sergeant David from the local police department. You are under investigation for a fraud case. To avoid further legal action, transfer $248 to the following account right away."
1,This is Microsoft Support. Your computer has been infected with a serious virus. Do not use your device until you follow our instructions. Press 2 to connect with a technician.
1,"This is Sergeant David from the local police department. You are under investigation for a fraud case. To avoid further legal action, transfer $2046 to the following account right away."
1,This is Microsoft Support. Your computer has been infected with a serious virus. Do not use your device until you follow our instructions. Press 6 to connect with a technician.
1,"This is Officer John from the IRS. You owe $3511 in back taxes. If you do not pay immediately, we will issue a warrant for your arrest. Please press 4 to speak with an agent."
