label,text
1,CANCLE
1,Your plan Smallie.is going to be renewed. Please send CANCEL if you do not want this to happen
1,Dear Glo subscriber
1,Welcome to Smallie. It will expire on 04/09/2014 14:19
1,Info
1,1
1,Please send :1 for  Day Plans2 for  Week Plans3 for  Monthly Plans4 for  Time Based Monthly Plans
1,ACTIVATE
1,Please send ACTIVATE to 127 for a list of options
1,PAYYOU
1,STOP
1,Dear Customer
1,2
1,Y'ello! You have 193.53MB in your SME shared data bundle
1,Y'ello! You have 500.00MB in your SME shared data bundle
1,Y'ello! You have received 250.00MB SME Data Share from 8101541954. Thank you.
1,Y'ello! You have received 250.00MB SME Data Share from 8101541954. Thank you.
0,Here's a genuine Birthday prayer from the heart of one friend to another
0,A million and one THANKS is nt enough to appreciate a beautiful Person like u. Txs 4 d luv
1,access>>>Credit AlertAmt: NGN 27
1,access>>>Debit AlertAmt: NGN 3
1,Get access to all our services using ONE code. Dial *200# and select your preferred option      
0,8051416112
0,Your Birthday is the perfect opportunity to take a pause in life
0,Acct: ******2491Amt: NGN1
0,Acct: ******2491Amt: NGN500.00 DrDesc: CASH WDL FROM OUR ATM-GTBank EBranch UNAAB   Ogun    OGNG STAN9067008984Avail Bal: NGN1
0,Acct: ******2491Amt: NGN1
0,Acct: ******2491Amt: NGN5
0,Acct: ******2491Amt: NGN24.00 DrDesc: SI TRANSACTION (DIFFERENT CUSTOMERS)-SMS CHARGE FOR JULY 2014Avail Bal: NGN7
0,Acct: ******2491Amt: NGN200.00 DrDesc: POS-GTBank EBranch UNAAB   Ogun    OGNG STAN9999006519Avail Bal: NGN7
0,Acct: ******2491Amt: NGN2
0,to  BABALOLA
0,Acct: ******2491Amt: NGN10
0,Don't worry any longer
0,Some of ur confidence is wickedness to me. Continue U see d result oneday.
0,It won't be funny if u keep on telling me that u are not coming and I later see u. If that is what they asked u to do
0,140066036874470. I love u.
0,Miles may lie between us but we are never far apart. For love doesn't count the miles. It's measured by the heart. I love you. Sweet dreams 
0,Like the stars were made to twinkle
0,U asked wat is makin me think
0,Like the stars were made to twinkle
0,I love you more today than I did yesterday
0,Who are d 'they'? If God say U wil see me again U wil. Thank God we av 'they' btw us now.
0,Oni Oluwatoyin Florence...01XXXXXX3. Happy new month.
0,Dear BABALOLA
0,Yemisi
0,Yemisi
1,Your Viber code is: 5398.Close this message and enter the code into Viber to activate your account.
1,Your Viber code is: 3007.Close this message and enter the code into Viber to activate your account.
0,01XXXX23 babalola andrew olawale
0,oji GTB ACCOUNT No. 0032813486. Abeokuta.  Regards
